Repmax,%
1,1.00
1.5,0.98
2,0.96
2.5,0.94
3,0.92
3.5,0.91
4,0.89
4.5,0.88
5,0.86
5.5,0.85
6,0.84
6.5,0.82
7,0.81
7.5,0.80
8,0.79
8.5,0.77
9,0.76
9.5,0.75
10,0.74
10.5,0.73
11,0.73
11.5,0.72
12,0.71
12.5,0.71
13,0.70
13.5,0.69
14,0.68
14.5,0.67
15,0.67
15.5,0.66
16,0.65
16.5,0.65
17,0.64
17.5,0.63
18,0.63
18.5,0.62
19,0.61
19.5,0.61
20,0.60
20.5,0.59
21,0.59
21.5,0.58
22,0.58
22.5,0.58
23,0.57
23.5,0.57
24,0.56
24.5,0.56
25,0.55
25.5,0.55
26,0.54
26.5,0.54
27,0.53
27.5,0.53
28,0.52
28.5,0.52
29,0.51
29.5,0.51
30,0.50
30.5,0.50
31,0.50
31.5,0.49
32,0.49
32.5,0.48
33,0.48
33.5,0.48
34,0.47
34.5,0.47
35,0.47
35.5,0.46
36,0.46
36.5,0.46
37,0.45
37.5,0.45
38,0.44
38.5,0.44
39,0.44
39.5,0.44
40,0.43
40.5,0.43
41,0.43
41.5,0.42
42,0.42
42.5,0.42
43,0.41
43.5,0.41
44,0.41
44.5,0.41
45,0.40
45.5,0.40
46,0.40
46.5,0.40
47,0.39
47.5,0.39
48,0.39
48.5,0.39
49,0.38
49.5,0.38
50,0.38
